Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2002,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,508-514 Flinders Street MELBOURNE 3000,400,144.957159986,-37.82016737,"-37.82016737, 144.957159986"
2002,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Spencer Street MELBOURNE 3000,100,144.955161917,-37.8202062,"-37.8202062, 144.955161917"
2002,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Bond Lounge,"Ground , 20-24 Bond Street MELBOURNE 3000",280,144.963066924,-37.81814712,"-37.81814712, 144.963066924"
2002,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Hosies Tavern,"Unit 1, 1-5 Elizabeth Street MELBOURNE 3000",270,144.964617389,-37.81805799,"-37.81805799, 144.964617389"
2002,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Connells Tavern,35 Elizabeth Street MELBOURNE 3000,350,144.964321432,-37.81742586,"-37.81742586, 144.964321432"
2002,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Adelphi Hotel,187 Flinders Lane MELBOURNE 3000,80,144.968384516,-37.81635922,"-37.81635922, 144.968384516"
2002,17,103925,103925,121-123 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Velour,"Unit 1, Gnd & Bmt , 121 Flinders Lane MELBOURNE 3000",350,144.970522562,-37.81567141,"-37.81567141, 144.970522562"
2002,33,105937,105937,435-443 Little Collins Street MELBOURNE 3000,Melbourne (CBD),The Kitchen Restaurant,"LwrGround , 25 Little Collins Street MELBOURNE 3000",200,144.96009875,-37.81638953,"-37.81638953, 144.96009875"
2002,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Dr Martin's Tavern,86A Collins Street MELBOURNE 3000,291,144.970594093,-37.8139391,"-37.8139391, 144.970594093"
2002,42,105392,105392,120-138 King Street MELBOURNE 3000,Melbourne (CBD),The Exchange Hotel,"Part Ground , 120 King Street MELBOURNE 3000",300,144.956417307,-37.81703294,"-37.81703294, 144.956417307"
2002,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,"Floor 1, 193-199 Bourke Street MELBOURNE 3000",200,144.96765464,-37.81320619,"-37.81320619, 144.96765464"
2002,48,108983,108983,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),Hard Rock Cafe,1 Spring Street MELBOURNE 3000,500,144.972933874,-37.81199485,"-37.81199485, 144.972933874"
2002,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),Great Western Hotel,204-208 King Street MELBOURNE 3000,383,144.955493135,-37.81521335,"-37.81521335, 144.955493135"
2002,66,108550,108550,213-217 Russell Street MELBOURNE 3000,Melbourne (CBD),Enka Karaoke Bar,"Part Floor 1, 217 Russell Street MELBOURNE 3000",80,144.967245886,-37.81156301,"-37.81156301, 144.967245886"
2002,67,103605,103605,231-233 Exhibition Street MELBOURNE 3000,Melbourne (CBD),The Sen Bar,231-233 Exhibition Street MELBOURNE 3000,120,144.969529991,-37.81051241,"-37.81051241, 144.969529991"
2002,72,110106,110106,263-267 William Street MELBOURNE 3000,Melbourne (CBD),Metropolitan On William Bar & Restaurant,263-267 William Street MELBOURNE 3000,300,144.956593229,-37.81292535,"-37.81292535, 144.956593229"
2002,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),La La Land,"Level 1, 391-0 Little Lonsdale Street MELBOURNE 3000",175,144.960350578,-37.81187576,"-37.81187576, 144.960350578"
2002,84,105449,105449,293-299 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Duke of Kent Hotel,293-299 La Trobe Street MELBOURNE 3000,160,144.960518082,-37.81081576,"-37.81081576, 144.960518082"
2002,87,108565,108565,312-318 Russell Street MELBOURNE 3000,Melbourne (CBD),Kivotos Cafe Bar,312 Russell Street MELBOURNE 3000,250,144.966825993,-37.80932712,"-37.80932712, 144.966825993"
2002,105,103301,103301,442-450 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Melbourne International Backpackers,442-450 Elizabeth Street MELBOURNE 3000,365,144.960868246,-37.80830909,"-37.80830909, 144.960868246"
2002,105,109317,109317,427-433 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Oxford Scholar Hotel,427-433 Swanston Street MELBOURNE 3000,486,144.962937359,-37.80846031,"-37.80846031, 144.962937359"
2002,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,377 Cardigan Street CARLTON 3053,239,144.965762468,-37.79725381,"-37.79725381, 144.965762468"
2002,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Percys Bar & Bistro,414 Lygon Street CARLTON 3053,120,144.967822061,-37.79694699,"-37.79694699, 144.967822061"
2002,252,106244,106244,160-162 Lygon Street CARLTON 3053,Carlton,Bar Centrale,"Ground , 160 Lygon Street CARLTON 3053",500,144.966779291,-37.80344305,"-37.80344305, 144.966779291"
2002,255,109366,109366,594-600 Swanston Street CARLTON 3053,Carlton,Canada Hotel,125 Swanston Street CARLTON 3053,250,144.963954866,-37.80277134,"-37.80277134, 144.963954866"
2002,345,103402,103402,33 Errol Street NORTH MELBOURNE 3051,North Melbourne,Townhall Hotel North Melbourne,33 Errol Street NORTH MELBOURNE 3051,220,144.948916298,-37.80414282,"-37.80414282, 144.948916298"
2002,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,161 Errol Street NORTH MELBOURNE 3051,175,144.949623441,-37.80114485,"-37.80114485, 144.949623441"
2002,361,109842,109842,240-248 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Central Club Hotel,240 Victoria Street NORTH MELBOURNE 3051,150,144.95813588,-37.80591579,"-37.80591579, 144.95813588"
2002,375,103810,103810,5-17 Flemington Road NORTH MELBOURNE 3051,North Melbourne,The Chifley On Flemington,5 Flemington Road NORTH MELBOURNE 3051,230,144.955880773,-37.80140174,"-37.80140174, 144.955880773"
2002,435,107481,107481,65-67 Peel Street WEST MELBOURNE 3003,West Melbourne (Residential),Loki Bar,65 Peel Street WEST MELBOURNE 3003,140,144.955507472,-37.80666861,"-37.80666861, 144.955507472"
2003,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Spencer Street MELBOURNE 3000,100,144.955161917,-37.8202062,"-37.8202062, 144.955161917"
2003,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Hosies Tavern,"Unit 1, 1-5 Elizabeth Street MELBOURNE 3000",270,144.964617389,-37.81805799,"-37.81805799, 144.964617389"
2003,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),Purple Emerald,"Ground , 191 Flinders Street MELBOURNE 3000",100,144.96855231,-37.81663984,"-37.81663984, 144.96855231"
2003,23,102098,102098,415-417 Collins Street MELBOURNE 3000,Melbourne (CBD),The Sherlock Holmes Inn,"Basement , 415 Collins Street MELBOURNE 3000",70,144.960877534,-37.8174695,"-37.8174695, 144.960877534"
2003,32,102117,102117,500-514 Collins Street MELBOURNE 3000,Melbourne (CBD),Menzies Tavern,"Part Level 1, 525 Collins Street MELBOURNE 3000",250,144.957482691,-37.8175352,"-37.8175352, 144.957482691"
2003,42,105392,105392,120-138 King Street MELBOURNE 3000,Melbourne (CBD),The Exchange Hotel,"Part Ground , 120 King Street MELBOURNE 3000",300,144.956417307,-37.81703294,"-37.81703294, 144.956417307"
2003,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,"Floor 1, 193-199 Bourke Street MELBOURNE 3000",200,144.96765464,-37.81320619,"-37.81320619, 144.96765464"
2003,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.967590055,-37.81390913,"-37.81390913, 144.967590055"
2003,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,300,144.971451403,-37.81281091,"-37.81281091, 144.971451403"
2003,48,108983,108983,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),Hard Rock Cafe,1 Spring Street MELBOURNE 3000,500,144.972933874,-37.81199485,"-37.81199485, 144.972933874"
2003,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Hollywood Karaoke Bar,"Level 1, 184-186 Bourke Street MELBOURNE 3000",150,144.967697361,-37.81267743,"-37.81267743, 144.967697361"
2003,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.970654764,-37.81121597,"-37.81121597, 144.970654764"
2003,64,104376,104376,14-20 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 A'Beckett Street MELBOURNE 3000,200,144.960740482,-37.8132872,"-37.8132872, 144.960740482"
2003,66,108550,108550,213-217 Russell Street MELBOURNE 3000,Melbourne (CBD),Enka Karaoke Bar,"Part Floor 1, 217 Russell Street MELBOURNE 3000",80,144.967245886,-37.81156301,"-37.81156301, 144.967245886"
